adj,noun,adj_noun,freq
larger,income,larger income,0
largest,income,largest income,5
tiny,income,tiny income,0
tinier,income,tinier income,0
tiniest,income,tiniest income,0
huge,income,huge income,4
huger,income,huger income,0
hugest,income,hugest income,0
high,grade,high grade,18
higher,grade,higher grade,4
highest,grade,highest grade,11
low,grade,low grade,26
lower,grade,lower grade,16
lowest,grade,lowest grade,1
small,grade,small grade,0
smaller,grade,smaller grade,0
smallest,grade,smallest grade,0
big,grade,big grade,0
bigger,grade,bigger grade,0
biggest,grade,biggest grade,0
large,grade,large grade,0
larger,grade,larger grade,0
largest,grade,largest grade,1
tiny,grade,tiny grade,0
tinier,grade,tinier grade,0
tiniest,grade,tiniest grade,0
huge,grade,huge grade,0
huger,grade,huger grade,0
hugest,grade,hugest grade,0
high,loss,high loss,3
higher,loss,higher loss,0
highest,loss,highest loss,1
low,loss,low loss,0
lower,loss,lower loss,1
lowest,loss,lowest loss,0
small,loss,small loss,1
smaller,loss,smaller loss,2
smallest,loss,smallest loss,0
big,loss,big loss,78
bigger,loss,bigger loss,6
biggest,loss,biggest loss,16
large,loss,large loss,12
larger,loss,larger loss,2
largest,loss,largest loss,12
tiny,loss,tiny loss,0
tinier,loss,tinier loss,0
tiniest,loss,tiniest loss,0
huge,loss,huge loss,48
huger,loss,huger loss,0
hugest,loss,hugest loss,0
high,tax,high tax,98
higher,tax,higher tax,340
highest,tax,highest tax,31
low,tax,low tax,76
lower,tax,lower tax,246
lowest,tax,lowest tax,22
small,tax,small tax,10
smaller,tax,smaller tax,27
smallest,tax,smallest tax,0
big,tax,big tax,195
bigger,tax,bigger tax,26
biggest,tax,biggest tax,51
large,tax,large tax,27
larger,tax,larger tax,15
largest,tax,largest tax,80
tiny,tax,tiny tax,3
tinier,tax,tinier tax,0
tiniest,tax,tiniest tax,0
huge,tax,huge tax,98
huger,tax,huger tax,0
hugest,tax,hugest tax,0
high,benefit,high benefit,0
higher,benefit,higher benefit,5
highest,benefit,highest benefit,0
low,benefit,low benefit,3
lower,benefit,lower benefit,4
lowest,benefit,lowest benefit,0
small,benefit,small benefit,8
smaller,benefit,smaller benefit,0
smallest,benefit,smallest benefit,0
big,benefit,big benefit,15
bigger,benefit,bigger benefit,1
biggest,benefit,biggest benefit,5
large,benefit,large benefit,3
larger,benefit,larger benefit,2
largest,benefit,largest benefit,0
tiny,benefit,tiny benefit,0
tinier,benefit,tinier benefit,0
tiniest,benefit,tiniest benefit,0
huge,benefit,huge benefit,17
huger,benefit,huger benefit,0
hugest,benefit,hugest benefit,0
high,rate,high rate,130
higher,rate,higher rate,174
highest,rate,highest rate,107
low,rate,low rate,94
lower,rate,lower rate,146
lowest,rate,lowest rate,47
small,rate,small rate,1
smaller,rate,smaller rate,0
smallest,rate,smallest rate,0
big,rate,big rate,2
bigger,rate,bigger rate,1
biggest,rate,biggest rate,0
large,rate,large rate,2
larger,rate,larger rate,2
largest,rate,largest rate,0
tiny,rate,tiny rate,1
tinier,rate,tinier rate,0
tiniest,rate,tiniest rate,0
huge,rate,huge rate,2
huger,rate,huger rate,0
hugest,rate,hugest rate,0
high,gain,high gain,4
higher,gain,higher gain,0
highest,gain,highest gain,1
low,gain,low gain,3
lower,gain,lower gain,0
lowest,gain,lowest gain,0
small,gain,small gain,16
smaller,gain,smaller gain,1
smallest,gain,smallest gain,0
big,gain,big gain,39
